robot,corridor_id,rollout_mode,solve_index,horizon_step,global_step,tracking_cost,control_cost,smoothness_cost,risk_cost,topology_cost,corridor_cost,manifold_cost,safety_violation_cost,constraint_violation_cost,handover_cost,step_total_cost,cumulative_total_cost,phase,task_state,state_transition,task_cost,task_optimization_cost,risk_weight,tracking_weight,smoothness_weight,task_weight,feasibility_status,step,ref_x,ref_y,ref_z,pred_x,pred_y,pred_z,tracking_error,control_norm,control_delta,risk,risk_value,risk_query_valid,risk_query_source,safety_violation,risk_threshold,risk_sanity_status,horizon,dt,risk_exceeded,constraint_violation,topology_class,distance_to_corridor,corridor_violation,corridor_constraint_status,distance_to_manifold,manifold_clearance,minimum_clearance,clearance_threshold,actual_clearance,progress,boundary_distance,manifold_violation,manifold_constraint_status,manifold_constraint_mode,risk_constraint_violation,soft_constraint_used,minor_violation,major_violation,clearance_constraint_violation,nearest_critical_point,critical_point_target,critical_point_distance,critical_sequence_state,topology_sequence_valid,critical_point_status,current_topology_stage,corridor_override,manifold_override,critical_point_constraint_status,topology_class_constraint_status,topology_consistency_cost,step_cost
arm,arm_c0001,rolling_window,20,0,20,0.14210139168841754,0.011663999999999997,4.0535181668151226e-07,1.6371050762608765,0.0,0.0,0.057916220048791545,0.0,13.435021099666342,0.0064,138.0322302071797,4212.691281641756,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,21,0,21,0.14189339087857894,0.011663999999999999,3.03837938779219e-07,1.645473982499962,0.0,0.0,0.058069515618251986,0.0,13.407562262806271,0.0064,137.77403080439137,4350.465312446147,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,22,0,22,0.14174053589229818,0.011663999999999994,2.263443773415483e-07,1.652740936329339,0.0,0.0,0.058150597660955074,0.0,13.387358322322529,0.0064,137.58572986638885,4488.051042312536,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,23,0,23,0.14162831113347293,0.011663999999999999,1.6784980956202717e-07,1.659035278253143,0.0,0.0,0.05817074647888925,0.0,13.372511192145343,0.006399999999999998,137.44867763180142,4625.499719944338,approach,approach,handover->approach,0.006399999999999998,0.006399999999999998,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,24,0,24,0.14154597329366675,0.011663999999999994,1.240560027242734e-07,1.6644760940847019,0.0,0.0,0.05813956378194777,0.0,13.361610712940735,0.0064,137.34907213468418,4762.848792079022,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,25,0,25,0.14148559357162405,0.011663999999999999,9.146314234226299e-08,1.6691712962975855,0.0,0.0,0.058065178981264357,0.0,13.35361325486029,0.0064,137.27674468361548,4900.125536762637,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,26,0,26,0.14144133250424953,0.011663999999999999,6.731160254288492e-08,1.6732175219546106,0.0,0.0,0.0579544524192239,0.0,13.347748628098307,0.0064,137.2242300906602,5037.349766853297,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,27,0,27,0.14140889595499168,0.011663999999999987,4.947185130259322e-08,1.6767005367366,0.0,1.925929944387236e-34,0.05781316302969656,0.0,13.343449614906858,0.006400000000000003,137.1860640513408,5174.535830904638,approach,approach,handover->approach,0.006400000000000003,0.006400000000000003,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,28,0,28,0.1413806314712642,0.011663999999999997,3.632489091500583e-08,1.680075026476149,0.0,0.0,0.05766973187078528,0.0,13.34029911261366,0.006400376714848596,137.15917128466748,5311.695002189305,approach,approach,handover->approach,0.006400376714848596,0.006400376714848596,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,29,0,29,0.14135413039469935,0.011663999999999999,3.3791273578816814e-08,1.6833532711941936,0.0,0.0,0.05752437156442501,0.0,13.337553844073225,0.0064015090738955465,137.1361415998268,5448.8311437891325,approach,approach,handover->approach,0.0064015090738955465,0.0064015090738955465,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,30,0,30,0.14132924786047135,0.011663999999999999,3.171340162712244e-08,1.6865384542186082,0.0,0.0,0.057376670298987444,0.0,13.334979858850822,0.006403332512789014,137.1146368283203,5585.945780617453,approach,approach,handover->approach,0.006403332512789014,0.006403332512789014,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,31,0,31,0.14130586046261875,0.011663999999999999,2.979969177784069e-08,1.6896335793139872,0.0,0.0,0.05722629994468125,0.0,13.332563085211367,0.006405786383631968,137.09451813351546,5723.040298750969,approach,approach,handover->approach,0.006405786383631968,0.006405786383631968,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,32,0,32,0.14128386031873275,0.011663999999999994,2.8028150133811627e-08,1.692641486718798,0.0,0.0,0.05707300394378184,0.0,13.330291535884411,0.006408814061691164,137.07566796842352,5860.115966719392,approach,approach,handover->approach,0.006408814061691164,0.006408814061691164,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,33,0,33,0.141263151904399,0.011663999999999999,2.6381432776267578e-08,1.695564870443714,0.0,0.0,0.05691658686235035,0.0,13.32815473154011,0.006412362704651483,137.05798423341326,5997.173950952806,approach,approach,handover->approach,0.006412362704651483,0.006412362704651483,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,34,0,34,0.1412436496780479,0.011663999999999994,2.4845684260987227e-08,1.6984062932502133,0.0,0.0,0.056756905307289454,0.0,13.32614339329545,0.0064163830252953686,137.04137713457553,6134.215328087382,approach,approach,handover->approach,0.0064163830252953686,0.0064163830252953686,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,35,0,35,0.14122527628833956,0.011663999999999999,2.340967026663546e-08,1.7011681996218657,0.0,0.0,0.05659386004659916,0.0,13.324249211997893,0.006420829076957032,137.02576681888843,6271.2410949062705,approach,approach,handover->approach,0.006420829076957032,0.006420829076957032,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,36,0,36,0.14120796121146345,0.011663999999999999,2.2064137467677604e-08,1.703852927003151,0.0,0.0,0.05642738918627387,0.0,13.322464674094322,0.006425658051110618,137.01108158313815,6408.252176489409,approach,approach,handover->approach,0.006425658051110618,0.006425658051110618,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,37,0,37,0.14119163970628226,0.011663999999999997,2.0801340581768395e-08,1.7064632414380738,0.0,0.0,0.056257462272502105,0.0,13.32078292926018,0.006430830086467199,136.9972574539548,6545.249433943364,approach,approach,handover->approach,0.006430830086467199,0.006430830086467199,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,38,0,38,0.1411762520050015,0.011663999999999999,1.961469239333592e-08,1.7090017593161895,0.0,0.0,0.05608407520223321,0.0,13.319197688902834,0.006436308088976938,136.98423607992572,6682.23367002329,approach,approach,handover->approach,0.006436308088976938,0.006436308088976938,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,39,0,39,0.14116174267887702,0.011663999999999997,1.849850423507809e-08,1.7114704693677294,0.0,0.0,0.05590724583853417,0.0,13.317703147543014,0.006442057562155873,136.9719630401803,6819.2056330634705,approach,approach,handover->approach,0.006442057562155873,0.006442057562155873,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,40,0,40,0.14114806013448708,0.01166399999999999,1.7447793019375808e-08,1.7138712899929553,0.0,0.0,0.05572701023935904,0.0,13.31629392119889,0.006448046447181805,136.96038819288822,6956.166021256358,approach,approach,handover->approach,0.006448046447181805,0.006448046447181805,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,41,0,41,0.1411351562078468,0.011663999999999999,1.645813724538619e-08,1.7162060746067245,0.0,0.0,0.05554341941938304,0.0,13.314964998452826,0.006454244972228851,136.9494651624581,7093.1154864188165,approach,approach,handover->approach,0.006454244972228851,0.006454244972228851,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,42,0,42,0.1411229858322631,0.011663999999999987,1.5525569067565725e-08,1.718476616275481,0.0,0.0,0.05535653657443731,0.0,13.313711701022388,0.006460625510535703,136.93915092522255,7230.054637344039,approach,approach,handover->approach,0.006460625510535703,0.006460625510535703,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,43,0,43,0.1411115067621554,0.011663999999999997,1.4646492938302909e-08,1.7206846517489254,0.0,0.0,0.05516643470689017,0.0,13.31252965149442,0.006467162446727038,136.92940546974611,7366.984042813785,approach,approach,handover->approach,0.006467162446727038,0.006467162446727038,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,44,0,44,0.14110067933970918,0.011664000000000002,1.38176238537939e-08,1.722831864974196,0.0,0.0,0.05497319459812663,0.0,13.3114147464956,0.006473832050931817,136.92019151409593,7503.904234327881,approach,approach,handover->approach,0.006473832050931817,0.006473832050931817,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,45,0,45,0.14109046629464023,0.01166399999999999,1.3035940082913182e-08,1.7249198901679277,0.0,0.0,0.05477690308117538,0.0,13.310363134023971,0.0064806123602655415,136.9114742669761,7640.815708594857,approach,approach,handover->approach,0.0064806123602655415,0.0064806123602655415,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,46,0,46,0.14108083256984869,0.011663999999999997,1.2298646616786252e-08,1.7269503145108378,0.0,0.0,0.05457765157260208,0.0,13.309371193996792,0.006487483067265647,136.90322122297758,7777.718929817835,approach,approach,handover->approach,0.006487483067265647,0.006487483067265647,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
